Country Availability,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Argentina,871.0,1.0,594.0,492.0,191.0,1666.0,652.0,479.0,1954.0,471.0,505.0,1.0,20.0,149.0,285.0,147.0,79.0,373.0,4.0,93.0,675.0,393.0,111.0,128.0,10.0,836.0,78.0,24.0
Australia,889.0,1.0,575.0,502.0,216.0,1848.0,699.0,510.0,2202.0,506.0,511.0,1.0,20.0,171.0,308.0,158.0,90.0,401.0,6.0,98.0,831.0,365.0,125.0,123.0,12.0,908.0,84.0,34.0
Belgium,939.0,1.0,644.0,536.0,213.0,1795.0,719.0,471.0,2063.0,537.0,546.0,1.0,21.0,151.0,296.0,143.0,79.0,425.0,4.0,91.0,771.0,406.0,117.0,115.0,11.0,937.0,90.0,28.0
Brazil,854.0,1.0,581.0,482.0,188.0,1602.0,637.0,471.0,1903.0,463.0,492.0,0.0,21.0,146.0,281.0,144.0,72.0,362.0,4.0,98.0,658.0,383.0,110.0,123.0,10.0,821.0,70.0,24.0
Canada,976.0,1.0,606.0,516.0,217.0,1863.0,730.0,530.0,2258.0,495.0,530.0,1.0,23.0,174.0,333.0,163.0,97.0,409.0,6.0,94.0,770.0,400.0,128.0,137.0,12.0,984.0,92.0,39.0
Colombia,863.0,1.0,588.0,488.0,191.0,1464.0,650.0,441.0,1943.0,467.0,502.0,1.0,20.0,147.0,284.0,141.0,78.0,371.0,4.0,90.0,670.0,389.0,109.0,128.0,10.0,833.0,76.0,24.0
Czech Republic,961.0,1.0,626.0,468.0,243.0,1987.0,731.0,521.0,2380.0,503.0,554.0,1.0,21.0,166.0,346.0,156.0,90.0,439.0,5.0,96.0,901.0,403.0,130.0,126.0,10.0,994.0,95.0,25.0
France,854.0,1.0,589.0,554.0,194.0,1732.0,634.0,463.0,1961.0,488.0,515.0,1.0,21.0,150.0,281.0,140.0,78.0,383.0,4.0,97.0,748.0,390.0,115.0,111.0,12.0,820.0,77.0,30.0
Germany,937.0,1.0,645.0,499.0,226.0,1826.0,697.0,477.0,2116.0,482.0,549.0,1.0,21.0,172.0,310.0,140.0,72.0,419.0,7.0,95.0,767.0,424.0,120.0,115.0,11.0,911.0,87.0,27.0
Greece,816.0,1.0,518.0,407.0,185.0,1694.0,617.0,484.0,2038.0,446.0,479.0,1.0,20.0,143.0,297.0,147.0,74.0,374.0,5.0,93.0,782.0,338.0,118.0,114.0,10.0,819.0,73.0,22.0
Hong Kong,962.0,1.0,574.0,495.0,202.0,1691.0,653.0,451.0,1965.0,410.0,524.0,1.0,20.0,156.0,303.0,139.0,71.0,373.0,4.0,93.0,791.0,386.0,108.0,125.0,11.0,844.0,84.0,24.0
Hungary,946.0,1.0,594.0,454.0,228.0,1887.0,704.0,517.0,2303.0,471.0,536.0,1.0,21.0,158.0,349.0,154.0,83.0,434.0,5.0,94.0,860.0,387.0,125.0,123.0,11.0,975.0,84.0,22.0
Iceland,804.0,1.0,482.0,406.0,187.0,1665.0,596.0,492.0,2043.0,427.0,437.0,1.0,21.0,142.0,273.0,138.0,86.0,362.0,5.0,95.0,767.0,323.0,120.0,116.0,10.0,793.0,69.0,18.0
India,903.0,1.0,536.0,493.0,208.0,1845.0,667.0,506.0,2261.0,426.0,506.0,1.0,23.0,164.0,320.0,150.0,86.0,421.0,5.0,97.0,892.0,375.0,119.0,122.0,12.0,902.0,82.0,26.0
Israel,807.0,1.0,511.0,436.0,178.0,1686.0,612.0,469.0,1983.0,427.0,480.0,1.0,20.0,137.0,284.0,133.0,71.0,371.0,5.0,93.0,784.0,336.0,118.0,110.0,10.0,796.0,72.0,17.0
Italy,856.0,1.0,587.0,501.0,199.0,1745.0,621.0,456.0,1965.0,453.0,504.0,1.0,21.0,142.0,297.0,140.0,66.0,379.0,4.0,95.0,751.0,405.0,116.0,106.0,11.0,832.0,85.0,20.0
Japan,1106.0,2.0,719.0,782.0,212.0,1845.0,688.0,458.0,2306.0,446.0,696.0,0.0,19.0,162.0,403.0,149.0,71.0,497.0,5.0,94.0,875.0,582.0,114.0,124.0,11.0,937.0,79.0,25.0
Lithuania,793.0,1.0,498.0,436.0,188.0,1775.0,612.0,504.0,2086.0,441.0,474.0,1.0,21.0,143.0,293.0,144.0,76.0,366.0,5.0,95.0,798.0,337.0,125.0,113.0,11.0,802.0,65.0,20.0
Malaysia,964.0,1.0,572.0,533.0,181.0,1601.0,657.0,416.0,2112.0,425.0,545.0,1.0,23.0,152.0,322.0,137.0,82.0,396.0,6.0,93.0,841.0,383.0,113.0,121.0,11.0,889.0,76.0,24.0
Mexico,868.0,1.0,593.0,491.0,191.0,1676.0,652.0,485.0,1947.0,470.0,506.0,1.0,20.0,148.0,284.0,148.0,80.0,373.0,4.0,97.0,670.0,391.0,114.0,128.0,11.0,833.0,77.0,25.0
Netherlands,834.0,1.0,559.0,478.0,185.0,1635.0,658.0,451.0,1894.0,481.0,484.0,1.0,20.0,144.0,255.0,137.0,70.0,387.0,5.0,90.0,701.0,368.0,116.0,106.0,10.0,855.0,78.0,20.0
Poland,773.0,2.0,581.0,475.0,203.0,1672.0,599.0,459.0,1939.0,476.0,496.0,1.0,20.0,150.0,296.0,137.0,71.0,375.0,5.0,94.0,726.0,383.0,115.0,103.0,10.0,793.0,85.0,22.0
Portugal,742.0,1.0,532.0,473.0,178.0,1518.0,557.0,452.0,1744.0,444.0,474.0,1.0,20.0,129.0,256.0,125.0,69.0,350.0,5.0,93.0,650.0,370.0,112.0,102.0,12.0,728.0,62.0,16.0
Romania,911.0,1.0,574.0,446.0,219.0,1818.0,694.0,511.0,2251.0,459.0,517.0,1.0,21.0,152.0,342.0,146.0,76.0,427.0,5.0,94.0,834.0,379.0,123.0,124.0,11.0,952.0,83.0,22.0
Russia,816.0,1.0,501.0,431.0,182.0,1753.0,619.0,498.0,2065.0,418.0,461.0,1.0,21.0,152.0,278.0,137.0,79.0,377.0,6.0,96.0,810.0,333.0,125.0,113.0,11.0,795.0,71.0,22.0
Singapore,985.0,1.0,588.0,540.0,197.0,1893.0,675.0,485.0,2233.0,437.0,555.0,1.0,22.0,155.0,337.0,149.0,87.0,408.0,6.0,94.0,891.0,390.0,120.0,130.0,11.0,911.0,80.0,28.0
Slovakia,901.0,1.0,578.0,443.0,228.0,1807.0,688.0,497.0,2254.0,463.0,525.0,1.0,21.0,164.0,325.0,148.0,79.0,414.0,5.0,96.0,834.0,380.0,127.0,119.0,10.0,926.0,87.0,21.0
South Africa,831.0,1.0,509.0,447.0,189.0,1773.0,621.0,507.0,2089.0,433.0,472.0,1.0,21.0,150.0,299.0,140.0,79.0,377.0,5.0,101.0,808.0,346.0,123.0,110.0,12.0,844.0,71.0,17.0
South Korea,885.0,1.0,586.0,527.0,193.0,1502.0,618.0,418.0,1923.0,403.0,543.0,1.0,22.0,176.0,295.0,131.0,58.0,400.0,4.0,92.0,714.0,396.0,101.0,108.0,13.0,842.0,89.0,24.0
Spain,806.0,1.0,567.0,496.0,192.0,1620.0,599.0,477.0,1874.0,466.0,511.0,1.0,21.0,139.0,268.0,141.0,76.0,372.0,4.0,99.0,696.0,366.0,120.0,104.0,11.0,787.0,74.0,18.0
Sweden,782.0,1.0,535.0,467.0,198.0,1572.0,611.0,453.0,1793.0,457.0,457.0,1.0,20.0,147.0,255.0,138.0,74.0,363.0,5.0,92.0,671.0,356.0,107.0,102.0,10.0,787.0,79.0,20.0
Switzerland,958.0,1.0,653.0,545.0,218.0,1795.0,692.0,462.0,2097.0,510.0,572.0,1.0,22.0,172.0,333.0,148.0,75.0,437.0,6.0,98.0,775.0,442.0,110.0,117.0,12.0,929.0,92.0,30.0
Thailand,959.0,1.0,578.0,536.0,194.0,1886.0,668.0,487.0,2243.0,436.0,567.0,1.0,21.0,154.0,357.0,153.0,85.0,412.0,5.0,94.0,918.0,388.0,117.0,127.0,11.0,910.0,78.0,25.0
Turkey,803.0,1.0,560.0,445.0,185.0,1585.0,589.0,449.0,1787.0,424.0,485.0,1.0,21.0,144.0,260.0,133.0,65.0,371.0,4.0,94.0,700.0,380.0,114.0,96.0,10.0,764.0,65.0,23.0
United Kingdom,955.0,1.0,591.0,528.0,230.0,2058.0,718.0,556.0,2378.0,540.0,554.0,1.0,26.0,177.0,368.0,173.0,96.0,436.0,7.0,110.0,884.0,399.0,134.0,136.0,14.0,985.0,101.0,30.0
United States,808.0,1.0,499.0,482.0,219.0,1726.0,641.0,548.0,2174.0,465.0,472.0,1.0,23.0,171.0,320.0,157.0,92.0,405.0,8.0,107.0,725.0,341.0,123.0,127.0,12.0,879.0,87.0,30.0
