Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Romania,2021,15.0,0.0,11.0,5.0,4.0,40.0,13.0,11.0,53.0,8.0,12.0,1.0,0.0,4.0,3.0,4.0,1.0,7.0,0.0,0.0,8.0,7.0,6.0,4.0,18.0,2.0,1.0
Russia,2015,133.0,0.0,88.0,39.0,25.0,229.0,72.0,35.0,189.0,59.0,56.0,0.0,0.0,11.0,19.0,11.0,13.0,32.0,1.0,0.0,105.0,49.0,4.0,13.0,93.0,11.0,8.0
Russia,2016,47.0,0.0,29.0,14.0,18.0,91.0,35.0,37.0,100.0,21.0,22.0,0.0,0.0,9.0,10.0,9.0,3.0,19.0,1.0,0.0,30.0,10.0,7.0,6.0,49.0,8.0,2.0
Russia,2017,71.0,0.0,29.0,13.0,17.0,159.0,64.0,51.0,189.0,24.0,23.0,0.0,0.0,12.0,20.0,12.0,8.0,24.0,0.0,0.0,61.0,14.0,6.0,13.0,74.0,11.0,1.0
Russia,2018,116.0,0.0,44.0,18.0,27.0,264.0,66.0,68.0,281.0,32.0,49.0,0.0,0.0,23.0,45.0,17.0,16.0,35.0,1.0,3.0,100.0,26.0,11.0,20.0,119.0,9.0,1.0
Russia,2019,89.0,0.0,32.0,20.0,26.0,229.0,59.0,69.0,253.0,33.0,32.0,0.0,0.0,12.0,43.0,25.0,3.0,41.0,1.0,1.0,104.0,21.0,23.0,10.0,91.0,7.0,1.0
Russia,2020,87.0,0.0,62.0,54.0,23.0,243.0,76.0,59.0,319.0,73.0,46.0,0.0,0.0,15.0,41.0,22.0,11.0,44.0,0.0,1.0,131.0,28.0,23.0,23.0,122.0,10.0,3.0
Russia,2021,13.0,0.0,9.0,4.0,5.0,28.0,9.0,8.0,31.0,3.0,6.0,1.0,0.0,3.0,3.0,1.0,0.0,5.0,0.0,0.0,7.0,5.0,6.0,4.0,11.0,0.0,1.0
Singapore,2015,169.0,0.0,104.0,39.0,27.0,227.0,87.0,30.0,220.0,64.0,79.0,0.0,0.0,15.0,36.0,14.0,15.0,42.0,1.0,0.0,104.0,60.0,4.0,19.0,135.0,16.0,6.0
Singapore,2016,65.0,0.0,38.0,17.0,22.0,107.0,43.0,35.0,116.0,23.0,29.0,0.0,0.0,12.0,18.0,15.0,4.0,24.0,1.0,0.0,41.0,12.0,7.0,8.0,62.0,8.0,2.0
Singapore,2017,60.0,0.0,37.0,15.0,16.0,141.0,55.0,48.0,164.0,22.0,24.0,0.0,0.0,11.0,20.0,11.0,5.0,22.0,0.0,0.0,52.0,17.0,4.0,11.0,73.0,9.0,1.0
Singapore,2018,150.0,0.0,52.0,17.0,31.0,261.0,89.0,67.0,286.0,29.0,45.0,0.0,0.0,25.0,46.0,17.0,16.0,31.0,1.0,3.0,98.0,31.0,10.0,22.0,136.0,10.0,4.0
Singapore,2019,115.0,0.0,48.0,25.0,33.0,265.0,65.0,75.0,276.0,39.0,42.0,0.0,0.0,17.0,51.0,27.0,6.0,47.0,1.0,1.0,123.0,29.0,22.0,10.0,106.0,11.0,1.0
Singapore,2020,98.0,0.0,60.0,61.0,26.0,278.0,86.0,57.0,371.0,72.0,41.0,0.0,0.0,11.0,51.0,19.0,16.0,39.0,0.0,1.0,155.0,30.0,24.0,25.0,129.0,9.0,8.0
Singapore,2021,14.0,0.0,11.0,4.0,4.0,28.0,9.0,8.0,40.0,5.0,8.0,1.0,0.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,9.0,6.0,4.0,4.0,15.0,0.0,2.0
Slovakia,2015,186.0,0.0,127.0,39.0,47.0,241.0,94.0,37.0,285.0,75.0,86.0,0.0,0.0,16.0,43.0,14.0,13.0,54.0,1.0,0.0,130.0,73.0,5.0,20.0,160.0,18.0,6.0
Slovakia,2016,57.0,0.0,38.0,18.0,23.0,104.0,46.0,34.0,110.0,23.0,26.0,0.0,0.0,10.0,19.0,11.0,3.0,22.0,1.0,0.0,29.0,10.0,9.0,7.0,63.0,7.0,2.0
Slovakia,2017,79.0,0.0,34.0,14.0,20.0,152.0,70.0,51.0,209.0,27.0,29.0,0.0,0.0,18.0,22.0,12.0,7.0,26.0,0.0,0.0,66.0,18.0,7.0,13.0,90.0,11.0,1.0
Slovakia,2018,119.0,0.0,47.0,19.0,30.0,239.0,67.0,58.0,271.0,33.0,50.0,0.0,0.0,19.0,46.0,16.0,12.0,36.0,1.0,3.0,93.0,33.0,11.0,19.0,115.0,10.0,3.0
Slovakia,2019,102.0,0.0,49.0,27.0,37.0,285.0,77.0,75.0,307.0,52.0,48.0,0.0,0.0,19.0,49.0,28.0,5.0,47.0,1.0,2.0,115.0,26.0,24.0,12.0,115.0,11.0,1.0
Slovakia,2020,89.0,0.0,65.0,51.0,28.0,255.0,82.0,61.0,328.0,72.0,49.0,0.0,0.0,15.0,44.0,21.0,14.0,46.0,0.0,1.0,135.0,29.0,24.0,20.0,127.0,13.0,3.0
Slovakia,2021,15.0,0.0,10.0,4.0,4.0,34.0,13.0,9.0,46.0,7.0,11.0,1.0,0.0,3.0,3.0,4.0,1.0,7.0,0.0,0.0,7.0,7.0,6.0,4.0,18.0,2.0,1.0
South Africa,2015,147.0,0.0,94.0,44.0,30.0,236.0,74.0,33.0,202.0,67.0,64.0,0.0,0.0,13.0,22.0,10.0,9.0,37.0,1.0,0.0,100.0,50.0,5.0,14.0,114.0,14.0,4.0
South Africa,2016,51.0,0.0,31.0,17.0,17.0,94.0,34.0,38.0,93.0,24.0,27.0,0.0,0.0,8.0,14.0,12.0,4.0,17.0,1.0,0.0,25.0,12.0,7.0,7.0,52.0,6.0,1.0
South Africa,2017,69.0,0.0,32.0,12.0,17.0,159.0,64.0,55.0,190.0,23.0,25.0,0.0,0.0,15.0,24.0,12.0,8.0,27.0,0.0,0.0,65.0,15.0,6.0,10.0,81.0,10.0,1.0
South Africa,2018,114.0,0.0,43.0,16.0,26.0,260.0,61.0,67.0,274.0,31.0,46.0,0.0,0.0,20.0,47.0,16.0,15.0,34.0,1.0,3.0,97.0,27.0,11.0,20.0,115.0,8.0,1.0
South Africa,2019,96.0,0.0,41.0,25.0,33.0,235.0,61.0,73.0,266.0,39.0,35.0,0.0,0.0,16.0,49.0,26.0,4.0,42.0,1.0,1.0,105.0,24.0,23.0,12.0,107.0,9.0,1.0
South Africa,2020,85.0,0.0,54.0,56.0,24.0,234.0,77.0,64.0,320.0,70.0,37.0,0.0,0.0,11.0,41.0,21.0,13.0,38.0,0.0,3.0,130.0,26.0,25.0,21.0,125.0,8.0,4.0
South Africa,2021,13.0,0.0,8.0,4.0,4.0,22.0,10.0,8.0,28.0,3.0,6.0,1.0,0.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,6.0,4.0,4.0,3.0,12.0,0.0,1.0
South Korea,2015,183.0,0.0,138.0,51.0,37.0,190.0,82.0,28.0,248.0,63.0,97.0,0.0,0.0,24.0,34.0,18.0,12.0,48.0,1.0,0.0,123.0,74.0,4.0,15.0,150.0,24.0,9.0
South Korea,2016,89.0,0.0,43.0,18.0,21.0,111.0,54.0,31.0,144.0,23.0,23.0,0.0,0.0,17.0,21.0,11.0,2.0,25.0,1.0,0.0,47.0,23.0,8.0,7.0,88.0,9.0,2.0
South Korea,2017,87.0,0.0,47.0,21.0,22.0,148.0,71.0,48.0,190.0,32.0,32.0,0.0,0.0,15.0,25.0,10.0,6.0,34.0,0.0,0.0,59.0,22.0,4.0,15.0,102.0,10.0,1.0
South Korea,2018,105.0,0.0,54.0,25.0,27.0,192.0,62.0,50.0,227.0,26.0,54.0,0.0,0.0,22.0,42.0,13.0,6.0,34.0,1.0,3.0,75.0,40.0,7.0,13.0,101.0,13.0,4.0
South Korea,2019,92.0,0.0,41.0,32.0,29.0,200.0,59.0,57.0,226.0,36.0,40.0,0.0,0.0,26.0,43.0,21.0,3.0,44.0,0.0,1.0,96.0,24.0,18.0,13.0,77.0,9.0,0.0
South Korea,2020,60.0,0.0,54.0,57.0,18.0,161.0,55.0,48.0,186.0,64.0,39.0,0.0,1.0,13.0,26.0,16.0,8.0,36.0,0.0,2.0,75.0,24.0,14.0,13.0,83.0,5.0,3.0
South Korea,2021,15.0,0.0,10.0,6.0,5.0,27.0,14.0,7.0,53.0,6.0,12.0,1.0,0.0,3.0,10.0,1.0,1.0,6.0,0.0,0.0,15.0,5.0,3.0,2.0,20.0,3.0,1.0
Spain,2015,189.0,0.0,140.0,57.0,31.0,252.0,80.0,35.0,253.0,97.0,101.0,0.0,0.0,14.0,41.0,15.0,12.0,46.0,1.0,0.0,129.0,72.0,7.0,20.0,155.0,20.0,3.0
Spain,2016,42.0,0.0,29.0,17.0,24.0,88.0,35.0,36.0,104.0,24.0,24.0,0.0,0.0,10.0,13.0,11.0,4.0,22.0,1.0,0.0,36.0,10.0,8.0,8.0,50.0,6.0,2.0
Spain,2017,61.0,0.0,37.0,18.0,17.0,165.0,62.0,54.0,170.0,24.0,25.0,0.0,0.0,13.0,19.0,12.0,4.0,26.0,0.0,0.0,59.0,16.0,5.0,13.0,65.0,9.0,2.0
Spain,2018,79.0,0.0,43.0,20.0,23.0,193.0,48.0,54.0,185.0,26.0,37.0,0.0,0.0,14.0,26.0,10.0,12.0,27.0,1.0,3.0,61.0,28.0,9.0,13.0,83.0,8.0,2.0
Spain,2019,78.0,0.0,39.0,23.0,29.0,188.0,54.0,68.0,181.0,37.0,32.0,0.0,0.0,14.0,37.0,25.0,4.0,33.0,0.0,1.0,68.0,23.0,21.0,6.0,71.0,5.0,1.0
Spain,2020,74.0,0.0,51.0,56.0,26.0,226.0,72.0,60.0,299.0,65.0,38.0,0.0,0.0,11.0,34.0,23.0,12.0,37.0,0.0,1.0,120.0,24.0,22.0,18.0,113.0,10.0,2.0
Spain,2021,14.0,0.0,10.0,4.0,4.0,31.0,12.0,10.0,47.0,7.0,11.0,1.0,0.0,3.0,2.0,4.0,0.0,8.0,0.0,0.0,6.0,6.0,6.0,4.0,18.0,1.0,1.0
Sweden,2015,185.0,0.0,127.0,58.0,33.0,259.0,91.0,34.0,207.0,94.0,87.0,0.0,0.0,20.0,30.0,17.0,17.0,36.0,2.0,0.0,114.0,66.0,4.0,19.0,144.0,21.0,4.0
Sweden,2016,56.0,0.0,36.0,19.0,25.0,100.0,43.0,31.0,117.0,26.0,22.0,0.0,0.0,13.0,11.0,12.0,5.0,23.0,1.0,0.0,34.0,12.0,7.0,7.0,62.0,8.0,2.0
Sweden,2017,60.0,0.0,35.0,13.0,19.0,142.0,59.0,48.0,166.0,23.0,24.0,0.0,0.0,15.0,24.0,12.0,4.0,29.0,0.0,0.0,57.0,19.0,5.0,12.0,81.0,13.0,2.0
Sweden,2018,72.0,0.0,38.0,17.0,25.0,166.0,41.0,49.0,166.0,23.0,28.0,0.0,0.0,14.0,23.0,11.0,9.0,22.0,1.0,3.0,51.0,28.0,9.0,13.0,76.0,9.0,2.0
Sweden,2019,69.0,0.0,33.0,28.0,29.0,189.0,48.0,64.0,177.0,36.0,27.0,0.0,0.0,13.0,31.0,22.0,2.0,35.0,0.0,1.0,73.0,22.0,19.0,5.0,64.0,4.0,1.0
Sweden,2020,83.0,0.0,58.0,53.0,28.0,240.0,79.0,64.0,319.0,76.0,45.0,0.0,0.0,12.0,43.0,24.0,12.0,42.0,0.0,1.0,131.0,29.0,21.0,21.0,118.0,8.0,3.0
Sweden,2021,9.0,0.0,7.0,4.0,5.0,14.0,5.0,8.0,22.0,3.0,5.0,1.0,0.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,3.0,5.0,4.0,3.0,9.0,0.0,1.0
Switzerland,2015,227.0,0.0,169.0,55.0,50.0,319.0,129.0,36.0,328.0,103.0,112.0,0.0,0.0,25.0,60.0,19.0,14.0,65.0,1.0,0.0,147.0,101.0,5.0,21.0,196.0,20.0,8.0
Switzerland,2016,77.0,0.0,45.0,21.0,28.0,110.0,53.0,33.0,125.0,24.0,30.0,0.0,0.0,17.0,24.0,12.0,3.0,24.0,1.0,0.0,42.0,20.0,8.0,8.0,78.0,14.0,1.0
Switzerland,2017,75.0,0.0,48.0,21.0,22.0,165.0,59.0,49.0,190.0,32.0,36.0,0.0,0.0,14.0,29.0,14.0,6.0,36.0,0.0,0.0,65.0,28.0,5.0,13.0,84.0,12.0,2.0
Switzerland,2018,112.0,0.0,51.0,25.0,27.0,202.0,60.0,52.0,222.0,36.0,53.0,0.0,0.0,20.0,40.0,16.0,13.0,33.0,2.0,3.0,75.0,47.0,5.0,17.0,102.0,9.0,5.0
Switzerland,2019,88.0,0.0,48.0,22.0,26.0,203.0,61.0,60.0,205.0,39.0,30.0,0.0,0.0,15.0,42.0,22.0,5.0,39.0,0.0,1.0,73.0,21.0,19.0,8.0,91.0,8.0,4.0
Switzerland,2020,78.0,0.0,52.0,55.0,24.0,233.0,67.0,59.0,290.0,68.0,39.0,0.0,0.0,13.0,32.0,20.0,9.0,38.0,0.0,1.0,120.0,23.0,20.0,21.0,107.0,9.0,3.0
Switzerland,2021,12.0,0.0,9.0,5.0,5.0,34.0,8.0,10.0,46.0,8.0,8.0,1.0,0.0,3.0,3.0,3.0,1.0,10.0,0.0,0.0,8.0,4.0,6.0,5.0,16.0,1.0,1.0
Thailand,2015,169.0,0.0,105.0,36.0,24.0,228.0,87.0,31.0,214.0,63.0,85.0,0.0,0.0,14.0,35.0,14.0,15.0,46.0,1.0,0.0,109.0,63.0,4.0,17.0,136.0,13.0,5.0
Thailand,2016,57.0,0.0,33.0,16.0,20.0,102.0,38.0,36.0,114.0,23.0,25.0,0.0,0.0,11.0,16.0,17.0,4.0,21.0,1.0,0.0,40.0,11.0,8.0,8.0,57.0,8.0,1.0
Thailand,2017,60.0,0.0,35.0,14.0,16.0,143.0,58.0,46.0,164.0,20.0,23.0,0.0,0.0,13.0,17.0,11.0,5.0,22.0,0.0,0.0,54.0,15.0,4.0,12.0,74.0,9.0,1.0
Thailand,2018,147.0,0.0,54.0,16.0,31.0,264.0,83.0,68.0,289.0,29.0,49.0,0.0,0.0,25.0,49.0,17.0,15.0,33.0,1.0,3.0,100.0,31.0,11.0,23.0,136.0,11.0,4.0
Thailand,2019,108.0,0.0,45.0,24.0,35.0,270.0,60.0,75.0,289.0,41.0,47.0,0.0,0.0,18.0,67.0,28.0,5.0,45.0,1.0,1.0,130.0,29.0,22.0,10.0,107.0,11.0,1.0
Thailand,2020,97.0,0.0,60.0,61.0,25.0,280.0,86.0,59.0,373.0,71.0,42.0,0.0,0.0,10.0,54.0,20.0,16.0,38.0,0.0,1.0,163.0,29.0,22.0,23.0,132.0,9.0,8.0
Thailand,2021,14.0,0.0,10.0,4.0,4.0,24.0,8.0,8.0,35.0,5.0,7.0,1.0,0.0,2.0,3.0,2.0,0.0,6.0,0.0,0.0,10.0,5.0,4.0,4.0,12.0,0.0,1.0
Turkey,2015,191.0,0.0,142.0,41.0,31.0,214.0,89.0,32.0,210.0,73.0,89.0,0.0,0.0,12.0,33.0,13.0,11.0,49.0,1.0,0.0,113.0,81.0,5.0,17.0,140.0,12.0,5.0
Turkey,2016,44.0,0.0,29.0,15.0,23.0,87.0,34.0,32.0,91.0,20.0,22.0,0.0,0.0,11.0,11.0,10.0,3.0,22.0,1.0,0.0,27.0,13.0,8.0,5.0,43.0,6.0,1.0
Turkey,2017,61.0,0.0,36.0,17.0,16.0,142.0,55.0,50.0,155.0,24.0,26.0,0.0,0.0,14.0,18.0,10.0,4.0,24.0,0.0,0.0,50.0,18.0,6.0,12.0,69.0,8.0,1.0
Turkey,2018,90.0,0.0,44.0,16.0,23.0,170.0,45.0,49.0,170.0,20.0,39.0,0.0,0.0,16.0,30.0,12.0,7.0,30.0,1.0,3.0,57.0,35.0,8.0,12.0,88.0,11.0,4.0
Turkey,2019,79.0,0.0,41.0,25.0,28.0,207.0,54.0,61.0,183.0,36.0,33.0,0.0,0.0,15.0,29.0,24.0,4.0,35.0,0.0,1.0,80.0,25.0,20.0,5.0,69.0,5.0,1.0
Turkey,2020,82.0,0.0,57.0,54.0,23.0,264.0,81.0,59.0,322.0,67.0,42.0,0.0,0.0,14.0,48.0,22.0,10.0,37.0,0.0,1.0,136.0,25.0,25.0,20.0,124.0,9.0,5.0
Turkey,2021,11.0,0.0,9.0,4.0,4.0,21.0,8.0,8.0,28.0,3.0,6.0,1.0,0.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,6.0,4.0,4.0,3.0,12.0,0.0,1.0
United Kingdom,2015,185.0,0.0,116.0,60.0,37.0,342.0,110.0,50.0,284.0,111.0,90.0,0.0,0.0,23.0,49.0,23.0,16.0,52.0,3.0,0.0,142.0,67.0,7.0,27.0,158.0,23.0,8.0
United Kingdom,2016,55.0,0.0,43.0,22.0,25.0,117.0,40.0,40.0,119.0,32.0,32.0,0.0,0.0,12.0,20.0,15.0,4.0,22.0,1.0,0.0,31.0,14.0,8.0,5.0,57.0,8.0,1.0
United Kingdom,2017,84.0,0.0,42.0,22.0,22.0,175.0,65.0,63.0,207.0,30.0,36.0,0.0,0.0,16.0,25.0,15.0,9.0,33.0,0.0,0.0,72.0,19.0,7.0,13.0,88.0,11.0,1.0
United Kingdom,2018,124.0,0.0,51.0,22.0,31.0,291.0,65.0,74.0,292.0,40.0,48.0,0.0,0.0,22.0,47.0,17.0,18.0,33.0,1.0,3.0,100.0,33.0,12.0,23.0,121.0,12.0,4.0
United Kingdom,2019,115.0,0.0,49.0,30.0,41.0,259.0,78.0,82.0,316.0,45.0,45.0,0.0,0.0,20.0,62.0,27.0,5.0,53.0,1.0,1.0,118.0,34.0,23.0,13.0,128.0,11.0,1.0
United Kingdom,2020,101.0,0.0,60.0,59.0,27.0,254.0,95.0,71.0,366.0,74.0,50.0,0.0,0.0,15.0,57.0,28.0,15.0,50.0,0.0,2.0,142.0,32.0,26.0,25.0,153.0,15.0,8.0
United Kingdom,2021,15.0,0.0,9.0,4.0,7.0,28.0,11.0,11.0,47.0,7.0,9.0,1.0,0.0,3.0,3.0,4.0,1.0,8.0,0.0,0.0,6.0,5.0,6.0,4.0,19.0,2.0,1.0
United States,2015,95.0,0.0,73.0,57.0,39.0,205.0,50.0,42.0,197.0,71.0,56.0,0.0,0.0,21.0,23.0,18.0,19.0,29.0,4.0,0.0,84.0,38.0,5.0,16.0,71.0,18.0,4.0
United States,2016,34.0,0.0,23.0,10.0,23.0,82.0,36.0,40.0,87.0,16.0,14.0,0.0,0.0,10.0,11.0,11.0,3.0,19.0,1.0,0.0,23.0,7.0,6.0,4.0,45.0,2.0,1.0
United States,2017,79.0,0.0,34.0,16.0,20.0,166.0,68.0,56.0,213.0,30.0,30.0,0.0,0.0,17.0,29.0,16.0,8.0,33.0,0.0,0.0,69.0,20.0,7.0,13.0,90.0,14.0,3.0
United States,2018,115.0,0.0,46.0,20.0,34.0,274.0,68.0,67.0,303.0,41.0,52.0,0.0,0.0,23.0,49.0,19.0,19.0,40.0,1.0,2.0,100.0,33.0,11.0,21.0,130.0,11.0,1.0
United States,2019,108.0,0.0,48.0,33.0,34.0,250.0,69.0,82.0,287.0,55.0,36.0,0.0,0.0,18.0,51.0,31.0,4.0,49.0,1.0,1.0,107.0,26.0,22.0,14.0,125.0,10.0,4.0
United States,2020,102.0,0.0,55.0,49.0,27.0,228.0,86.0,74.0,349.0,67.0,38.0,0.0,0.0,12.0,45.0,23.0,13.0,46.0,0.0,2.0,126.0,29.0,26.0,27.0,145.0,12.0,9.0
United States,2021,12.0,0.0,7.0,4.0,4.0,22.0,10.0,8.0,34.0,3.0,6.0,1.0,0.0,3.0,4.0,2.0,0.0,8.0,0.0,0.0,8.0,4.0,4.0,3.0,16.0,1.0,0.0
